Date,Model,Batch,Mode,EVA16(kg),EVA25(kg),LDPE24(kg),LDPE40(kg),POE(kg),AC_PE_MB(kg),AC_EVA_MB(kg),DCP(kg),ZnO(kg),Urea(kg),BHT(kg),Filler_MB(kg),Color_MB(kg),ATH(kg),BrSb_MB(kg),CP70(kg),Powder(kg),PEG4000(kg),HALS(kg),EVA16_VA%,EVA25_VA%,Weighted_VA%,Effective_VA%,Temp1(°C),Time1(min),Temp2(°C),Time2(min),MixTime(min),RotorSpeed(rpm),AC(phr),DCP(phr),BHT(phr),ZnO(phr),Urea(phr),BaseDCPNeed(phr),EffectiveDCP(phr),DCP_SupplyRatio%,CrosslinkIndex,CrosslinkEff,CI_Min,CI_Max,CI_OptimalLow,CI_OptimalHigh,TheoDensity,PredDensity,PredExpansion,Quality_Score,Warning_Count,Warnings
"2026-02-26","2500AHH","藍310U","production","","","23","10","","14","","0.52","0.17","0.05","0.05","5","0.5","","","","","0.16","","16","25","16.00","","149.5","30","164","25","18","55","16.82","1.249","0.120","0.408","0.120","0.831","0.831","128.3","1.168","1.001","0.692","1.277","0.867","1.101","1.0349","0.0411","25.20","100","0",""
"2026-02-26","2500AHH","藍298U","production","","","22.5","10","","14","","0.515","0.175","0.04","0.05","5","0.95","","","","","0.16","","16","25","16.00","","149.5","30","164","25","18","55","16.88","1.242","0.121","0.422","0.096","0.845","0.845","125.3","1.141","1.001","0.692","1.277","0.867","1.101","1.0367","0.0411","25.20","100","0",""
"2026-02-26","2500AHH","大紅178U","production","","","21.5","10","","14","","0.53","0.15","0.035","0.05","5","2.06","","","","","0.16","","16","25","16.00","","150","30","164","25","18","55","16.95","1.283","0.121","0.363","0.085","0.879","0.879","125.1","1.149","1.002","0.690","1.274","0.865","1.099","1.0406","0.0412","25.23","100","0",""
"2026-02-26","2500","綠3265U","production","2.1","","13.7","4.2","","11.8","","0.35","0.145","0.04","0.03","4.2","4.57","","","","","0.16","","16","25","16.00","","148.3","30","164","25","18","55","19.42","1.152","0.099","0.477","0.132","1.021","1.021","98.1","0.879","1.006","0.672","1.242","0.843","1.071","1.0681","0.0376","28.42","100","0",""
"2026-02-26","2500","藍285U","production","2","","15.6","4","","11.2","","0.4","0.15","0.025","0.03","4","2.36","","","","","0.16","","16","25","16.00","","148.3","26","164","25","18","55","18.69","1.335","0.100","0.501","0.083","0.930","0.930","127.1","1.100","1.004","0.685","1.265","0.859","1.091","1.0551","0.0386","27.31","100","0",""
"2026-02-26","2500","蘋果綠333U","production","2","","15.5","4","","11.2","","0.37","0.135","0.025","0.03","4","1.03","","","","","0.16","","16","25","16.00","","148","30","164","25","18","55","19.40","1.281","0.104","0.468","0.087","0.876","0.876","128.1","1.136","1.003","0.692","1.277","0.867","1.101","1.0537","0.0374","28.21","100","0",""
"2026-02-26","2500","深藍2925U","production","2","","16.3","4","","11.2","","0.38","0.135","0.02","0.03","4","0.86","","","","","0.16","","16","25","16.00","","148","26","164","25","18","55","18.95","1.286","0.102","0.457","0.068","0.868","0.868","130.4","1.118","1.003","0.692","1.277","0.867","1.101","1.0503","0.0382","27.53","100","0",""
"2026-02-26","2500","粉紅236U","production","2","","15.3","4","","11.5","","0.37","0.115","0.02","0.03","4","1","","","","","0.05","","16","25","16.00","0.00","147.5","27","164","25","18","55","19.83","1.276","0.103","0.397","0.069","0.841","0.841","129.4","1.277","1.004","0.900","1.500","1.080","1.320","1.0514","0.0370","28.45","100","0",""
"2026-02-26","2500","金黃122U","production","2","","17.5","4","","11.3","","0.415","0.135","0.03","0.03","4","1","","","","","0.16","","16","25","16.00","","148.3","27","164","25","18","55","18.28","1.343","0.097","0.437","0.097","0.871","0.871","137.2","1.197","1.003","0.692","1.277","0.867","1.101","1.0465","0.0389","26.89","100","0",""
"2026-02-26","2500","特黑06C","production","","","15.8","4","","11.2","","0.412","0.125","0.025","0.03","4","3.25","","","","","0.16","","16","25","16.00","","146.5","26","164","25","18","55","19.42","1.429","0.104","0.433","0.087","0.959","0.959","132.4","1.088","1.003","0.679","1.254","0.851","1.081","1.0626","0.0377","28.17","100","0",""
