Date,Model,Batch,Mode,EVA16(kg),EVA25(kg),LDPE24(kg),LDPE40(kg),POE(kg),AC_PE_MB(kg),AC_EVA_MB(kg),DCP(kg),ZnO(kg),Urea(kg),BHT(kg),Filler_MB(kg),Color_MB(kg),Color1_Type,Color1_kg,Color2_Type,Color2_kg,Color3_Type,Color3_kg,ATH(kg),BrSb_MB(kg),CP70(kg),Powder(kg),PEG4000(kg),HALS(kg),EVA16_VA%,EVA25_VA%,Weighted_VA%,Effective_VA%,Temp1(°C),Time1(min),Temp2(°C),Time2(min),MixTime(min),RotorSpeed(rpm),AC(phr),DCP(phr),BHT(phr),ZnO(phr),Urea(phr),BaseDCPNeed(phr),EffectiveDCP(phr),DCP_SupplyRatio%,CrosslinkIndex,CrosslinkEff,CI_Min,CI_Max,CI_OptimalLow,CI_OptimalHigh,TheoDensity,PredDensity,PredExpansion,Quality_Score,Warning_Count,DosageTemp,DischargeTemp,ResinType,QI_Percent,e1_FT,e2_FTi,e3_TTi,e4_FR,e5_TR,e6_TiR,FaceA_CV,FaceB_CV,FaceC_CV,FaceD_CV,Mahalanobis_Dist,Confidence_Zone,Warnings
"2026-02-25","4000","特黑06C","production","19","","","10","","","16","0.57","0.175","0.04","0.02","5","5.34","EVA-8503_1.33_cb37","5.34","","","","","","","","","0.16","","16","25","16.00","0.00","143.5","26","164","25","18","55","18.93","1.349","0.047","0.414","0.095","0.946","0.946","132.7","1.034","1.017","0.575","0.922","0.679","0.818","1.0641","0.0410","25.80","100","2","100","127","eva_ldpe","57","0.642","1.000","0.587","1.000","0.649","1.000","","","","","3.76","yellow","[Warning] AC/DCP比偏低(13.0)，26X最適值17.7(-1.6σ); [Warning] 交聯指數過高(1.034 > 0.922)，可能導致泡棉硬脆"
"2026-02-25","4000","深藍2925U","production","19.8","","","10","","","16","0.56","0.16","0.02","0.02","5","1.2","EVA-5504N-1_1.506_org23","1.2","","","","","","","","","0.16","","16","25","16.00","0.00","144.2","26","164","25","18","55","20.03","1.402","0.050","0.401","0.050","0.827","0.827","122.4","1.081","1.004","0.692","1.277","0.867","1.101","1.0584","0.0343","30.59","92","0","100","127","eva_ldpe","81","0.987","0.963","0.736","0.897","1.000","1.000","","","","","1.37","green",""
"2026-02-25","4000","綠571U","production","21","","","10","","","16.2","0.585","0.165","0.03","0.02","5","0.52","EVA-4506_1.357_org20","0.4837","EVA-5504N-1_1.506_org23","0.0363","","","","","","","0.16","","16","25","16.00","0.00","143","26","164","25","18","55","19.88","1.436","0.049","0.405","0.074","0.865","0.865","117.2","1.044","1.007","0.692","1.277","0.867","1.101","1.0551","0.0354","29.74","92","0","100","127","eva_ldpe","83","0.987","1.000","0.736","0.982","0.993","1.000","","","","","1.16","green",""
"2026-02-25","251","特黑05CL","production","15","","","8","","","11.2","0.465","0.1","0.02","0.02","","3.78","EVA-7505_1.38_cb45","3.78","","","","","","","","","0.16","","16","25","16.00","0.00","143.5","26","164","25","18","55","17.81","1.479","0.064","0.318","0.064","0.965","0.965","141.1","1.117","1.017","0.672","1.077","0.793","0.956","1.0142","0.0394","26.88","92","1","100","128","eva_ldpe","59","0.628","0.954","0.629","0.697","0.766","0.982","","","","","3.63","yellow","[Warning] AC/DCP比偏低(12.4)，27X最適值18.0(-1.9σ)"
"2026-02-25","1300","黑","production","","","27.8","5","","10","","0.5","0.15","0.04","0.05","5","0.82","EVA-7505_1.38_cb45","0.82","","","","","","","","","0.16","","16","25","16.00","0.00","151.2","26","164","25","18","55","12.61","1.261","0.126","0.378","0.101","0.949","0.949","150.6","1.192","1.017","0.734","1.178","0.867","1.045","1.0253","0.0385","27.59","84","1","100","131","ldpe_only","37","0.628","1.000","0.629","0.941","0.257","0.707","","","","","5.15","red","[Mild] AC/DCP比稍偏低(12.3)，最適Range 13.4~20.5@28X"
"2026-02-25","1300","白","production","","","29","5","","9.8","","0.485","0.15","0.035","0.02","5.6","","EVA-5504N-1_1.506_org23","0.003","","","","","","","","0.6","0.16","","16","25","16.00","0.00","151","26","164","25","18","55","12.16","1.203","0.050","0.372","0.087","0.949","0.949","146.5","1.079","1.016","0.699","1.121","0.825","0.994","1.0336","0.0381","27.50","89","1","100","130","ldpe_only","35","0.264","0.982","0.521","0.707","0.630","0.963","","","","","6.59","red","[Mild] AC/DCP比稍偏低(12.7)，最適Range 13.4~20.5@28X"
"2026-02-25","1600","白","production","","","27.8","5","","11.2","","0.505","0.165","0.04","0.05","5.6","","EVA-5504N-1_1.506_org23","0.003","","","","","","","","0.6","0.16","","16","25","16.00","0.00","151.5","26","164","25","18","55","14.07","1.269","0.126","0.415","0.101","0.980","0.980","131.2","1.000","1.020","0.740","1.186","0.874","1.052","1.0402","0.0381","27.39","89","0","90","131","ldpe_only","55","0.505","0.982","0.552","0.958","0.980","1.000","","","","","4.60","red",""
"2026-03-02","1600特殊板","深黑","production","11","","19.8","","","","11.1","0.61","0.16","0.055","0.05","3","5.8","EVA-7505_1.38_cb45","5.8","","","","","","","","","0.16","","16","25","16.00","0.00","143.5","26","164","25","18","55","13.39","1.472","0.121","0.386","0.133","0.840","0.840","133.9","1.131","1.002","0.784","1.348","0.953","1.178","1.0280","0.0356","29.59","76","1","90","129","eva_ldpe","79","0.898","0.976","0.701","0.956","0.951","1.000","","","","","1.14","green","[Mild] AC/DCP比稍偏低(16.0)，最適Range 16.7~23.5@30X"
"2026-03-02","1600NN-2特殊板","深黑","production","0.5","","17.6","10","","","11.3","0.695","0.22","0.12","0.05","","6.2","EVA-7505_1.38_cb45","6.2","","","","","","4.5","3","","0.16","","16","25","16.00","0.00","149.4","26","164","25","18","55","13.93","1.714","0.123","0.542","0.296","0.830","0.830","146.1","1.278","1.005","0.692","1.277","0.867","1.101","1.0310","0.0335","31.44","57","0","90","135","ldpe_only","41","0.987","0.979","0.762","0.930","0.413","0.396","","","","","4.60","red",""
"2026-03-02","1600NN-2特殊板","深黑-1","production","10","","17.6","5","","","11.2","0.64","0.17","0.1","0.03","","2.15","EVA-7505_1.38_cb45","2.15","","","","","","3","3","","0.16","","16","25","16.00","0.00","149.4","26","164","25","18","55","13.57","1.551","0.073","0.412","0.242","0.817","0.817","141.4","1.235","1.005","0.692","1.277","0.867","1.101","1.0084","0.0331","32.48","53","0","90","133","eva_ldpe","65","1.000","1.000","0.749","0.769","0.707","0.690","","","","","2.36","green",""
