#,Date,Model,Batch,Score,Density,Expansion,AC_phr,DCP_phr,AC_DCP_Ratio,CI,CI_Min,CI_Max,CI_OK,CrosslinkEff,FR_phr,Filler_phr,Warning_Count,Warnings,Suggestions
19,2026-02-26,"2500AHH","大紅178U",100,0.0412,25.23,16.95,1.283,13.2,1.149,0.690,1.274,OK,1.002,0.00,9.08,0,"","AC/DCP比值13.2在OptimalRange(12-20@25X); Inorganic Filler9.1 phr 在OptimalRange(5-20 phr); 交聯指數1.149合格但High(Range0.690~1.274)，可考慮減少DCP約5g"
20,2026-02-26,"2500","綠3265U",100,0.0376,28.42,19.42,1.152,16.9,0.879,0.672,1.242,OK,1.006,0.00,10.37,0,"","AC/DCP比值16.9在OptimalRange(12-20@28X); Inorganic Filler10.4 phr 在OptimalRange(5-20 phr); 混練階段AC損失5.7%，考慮降低Discharge Temperature或減少ZnO/Modified Urea"
21,2026-02-26,"2500","藍285U",100,0.0386,27.31,18.69,1.335,14.0,1.100,0.685,1.265,OK,1.004,0.00,10.01,0,"","AC/DCP比值14.0在OptimalRange(12-20@27X); Inorganic Filler10.0 phr 在OptimalRange(5-20 phr); 交聯指數1.100合格但High(Range0.685~1.265)，可考慮減少DCP約5g"
22,2026-02-26,"2500","蘋果綠333U",100,0.0374,28.21,19.40,1.281,15.1,1.136,0.692,1.277,OK,1.003,0.00,10.39,0,"","AC/DCP比值15.1在OptimalRange(12-20@28X); Inorganic Filler10.4 phr 在OptimalRange(5-20 phr); 交聯指數1.136合格但High(Range0.692~1.277)，可考慮減少DCP約5g"
23,2026-02-26,"2500","深藍2925U",100,0.0382,27.53,18.95,1.286,14.7,1.118,0.692,1.277,OK,1.003,0.00,10.15,0,"","AC/DCP比值14.7在OptimalRange(12-20@28X); Inorganic Filler10.2 phr 在OptimalRange(5-20 phr); 交聯指數1.118合格但High(Range0.692~1.277)，可考慮減少DCP約5g"
24,2026-02-26,"2500","粉紅236U",100,0.0367,28.77,19.97,1.285,15.5,1.101,0.692,1.277,OK,1.003,0.00,10.42,0,"","AC/DCP比值15.5在OptimalRange(12-20@29X); Inorganic Filler10.4 phr 在OptimalRange(5-20 phr); 交聯指數1.101合格但High(Range0.692~1.277)，可考慮減少DCP約5g"
25,2026-02-26,"2500","金黃122U",100,0.0389,26.89,18.28,1.343,13.6,1.197,0.692,1.277,OK,1.003,0.00,9.71,0,"","AC/DCP比值13.6在OptimalRange(12-20@27X); Inorganic Filler9.7 phr 在OptimalRange(5-20 phr); 交聯指數1.197合格但High(Range0.692~1.277)，可考慮減少DCP約5g"
26,2026-02-26,"2500","特黑06C",100,0.0377,28.17,19.42,1.429,13.6,1.088,0.679,1.254,OK,1.003,0.00,10.40,0,"","AC/DCP比值13.6在OptimalRange(12-20@28X); Inorganic Filler10.4 phr 在OptimalRange(5-20 phr); 交聯指數1.088合格但High(Range0.679~1.254)，可考慮減少DCP約5g"
27,2026-02-26,"2200C","灰7C",100,0.0413,24.92,16.73,1.171,14.3,0.993,0.692,1.277,OK,1.001,0.00,7.84,0,"","AC/DCP比值14.3在OptimalRange(10-18@25X); Inorganic Filler7.8 phr 在OptimalRange(5-20 phr); 交聯指數0.993，處於OptimalRange(0.867~1.101)"
28,2026-02-26,"2200C","黃602U",100,0.0413,24.87,16.58,1.239,13.4,1.104,0.692,1.277,OK,1.001,0.00,7.87,0,"","AC/DCP比值13.4在OptimalRange(10-18@25X); Inorganic Filler7.9 phr 在OptimalRange(5-20 phr); 交聯指數1.104合格但High(Range0.692~1.277)，可考慮減少DCP約5g"
29,2026-02-26,"2200C","綠339U",100,0.0409,25.55,17.12,1.110,15.4,0.840,0.677,1.250,OK,1.003,0.00,7.78,0,"","AC/DCP比值15.4在OptimalRange(12-20@26X); Inorganic Filler7.8 phr 在OptimalRange(5-20 phr); 交聯指數0.840合格但Low(Range0.677~1.250)，可考慮增加DCP約5g"
